ID,Label
00007.jpg,273 24 603 301 kangaroo 
00004.jpg,15 71 316 233 kangaroo 
00152.jpg,115 52 342 467 kangaroo 
00086.jpg,333 189 927 466 kangaroo 41 291 392 489 kangaroo 
00061.jpg,542 182 1038 573 kangaroo 
00148.jpg,207 33 701 398 kangaroo 
00088.jpg,295 118 446 350 kangaroo 181 164 342 363 kangaroo 
00116.jpg,218 73 459 530 kangaroo 437 27 847 587 kangaroo 
00161.jpg,276 208 584 352 kangaroo 
00103.jpg,272 113 367 273 kangaroo 19 84 271 274 kangaroo 
00128.jpg,166 176 468 385 kangaroo 
00016.jpg,91 15 565 415 kangaroo 
00038.jpg,218 19 450 263 kangaroo 
00045.jpg,210 148 307 395 kangaroo 302 180 444 422 kangaroo 
00175.jpg,230 66 534 449 kangaroo 
00162.jpg,180 206 375 434 kangaroo 262 199 375 302 kangaroo 
00012.jpg,291 157 550 346 kangaroo 
00179.jpg,121 45 344 366 kangaroo 
00025.jpg,22 49 640 363 kangaroo 
00098.jpg,149 155 344 365 kangaroo 
00083.jpg,218 179 959 548 kangaroo 
00026.jpg,311 284 494 407 kangaroo 
00117.jpg,401 65 621 557 kangaroo 
00041.jpg,319 118 962 456 kangaroo 
00091.jpg,383 160 718 643 kangaroo 
00099.jpg,286 126 689 546 kangaroo 438 438 554 536 kangaroo 308 1 796 324 kangaroo 
00172.jpg,296 77 531 269 kangaroo 
00119.jpg,1 311 319 703 kangaroo 444 517 663 884 kangaroo 564 417 692 654 kangaroo 270 508 402 957 kangaroo 1 484 222 888 kangaroo 
00051.jpg,224 38 385 348 kangaroo 28 87 273 346 kangaroo 
00037.jpg,286 59 383 325 kangaroo 98 80 254 318 kangaroo 12 140 269 388 kangaroo 
00040.jpg,456 132 526 203 kangaroo 
00125.jpg,65 170 302 278 kangaroo 
00121.jpg,12 117 580 363 kangaroo 
00014.jpg,381 27 620 308 kangaroo 283 154 422 305 kangaroo 236 93 372 214 kangaroo 4 156 326 318 kangaroo 
00009.jpg,43 135 237 348 kangaroo 
00032.jpg,83 27 262 357 kangaroo 
00053.jpg,277 157 470 438 kangaroo 653 157 809 565 kangaroo 124 268 274 446 kangaroo 
00100.jpg,151 93 697 382 kangaroo 
00003.jpg,99 5 403 279 kangaroo 
00127.jpg,181 173 498 342 kangaroo 
00093.jpg,438 1 842 382 kangaroo 
00139.jpg,176 122 422 444 kangaroo 45 298 188 477 kangaroo 430 307 690 461 kangaroo 423 260 608 404 kangaroo 
00146.jpg,316 72 535 407 kangaroo 
00027.jpg,128 1 335 199 kangaroo 
00159.jpg,339 93 530 254 kangaroo 
00178.jpg,361 130 640 508 kangaroo 461 214 907 680 kangaroo 1 283 480 552 kangaroo 
00073.jpg,564 35 953 482 kangaroo 
00158.jpg,236 107 436 247 kangaroo 
00069.jpg,1 54 306 325 kangaroo 
00143.jpg,421 227 1004 683 kangaroo 
00011.jpg,7 116 410 331 kangaroo 
00055.jpg,156 19 341 339 kangaroo 
00168.jpg,133 18 314 359 kangaroo 
00183.jpg,259 28 626 264 kangaroo 
00044.jpg,463 48 738 468 kangaroo 478 300 592 414 kangaroo 
00134.jpg,28 56 539 349 kangaroo 
00156.jpg,195 69 500 339 kangaroo 104 217 336 317 kangaroo 
00112.jpg,269 253 377 373 kangaroo 501 350 707 461 kangaroo 80 258 124 316 kangaroo 
00043.jpg,25 4 469 391 kangaroo 
00049.jpg,308 94 559 412 kangaroo 
00124.jpg,29 165 423 340 kangaroo 
00157.jpg,508 268 618 477 kangaroo 
00006.jpg,186 173 366 422 kangaroo 86 307 226 385 kangaroo 
00048.jpg,390 155 537 265 kangaroo 288 110 371 149 kangaroo 97 143 226 190 kangaroo 124 207 274 292 kangaroo 
00123.jpg,562 295 914 470 kangaroo 
00077.jpg,1 120 224 319 kangaroo 
00145.jpg,210 55 400 308 kangaroo 
00155.jpg,383 40 781 576 kangaroo 749 137 935 576 kangaroo 604 2 975 576 kangaroo 904 169 1023 489 kangaroo 350 1 547 403 kangaroo 153 1 422 575 kangaroo 153 1 423 576 kangaroo 4 1 229 567 kangaroo 
00071.jpg,98 150 458 346 kangaroo 
00034.jpg,1 141 270 449 kangaroo 
00113.jpg,44 101 269 273 kangaroo 160 166 395 252 kangaroo 
00062.jpg,1 112 220 446 kangaroo 180 98 305 435 kangaroo 
00080.jpg,254 160 629 642 kangaroo 
00023.jpg,87 47 239 257 kangaroo 
00181.jpg,69 28 571 442 kangaroo 
00174.jpg,1 178 421 742 kangaroo 
00060.jpg,300 106 500 369 kangaroo 133 213 333 425 kangaroo 
00075.jpg,34 82 412 244 kangaroo 254 44 294 79 kangaroo 62 27 152 76 kangaroo 1 38 59 76 kangaroo 
00115.jpg,153 272 573 632 kangaroo 344 348 722 583 kangaroo 638 266 888 509 kangaroo 221 285 334 390 kangaroo 
00110.jpg,160 73 446 212 kangaroo 
00036.jpg,110 2 312 493 kangaroo 257 280 718 502 kangaroo 421 133 783 301 kangaroo 339 103 522 232 kangaroo 676 31 800 267 kangaroo 
00031.jpg,1 17 260 326 kangaroo 192 75 426 283 kangaroo 
00114.jpg,1 33 294 234 kangaroo 233 140 421 233 kangaroo 
00101.jpg,223 85 547 499 kangaroo 
00042.jpg,246 429 572 769 kangaroo 
00132.jpg,471 155 874 626 kangaroo 
00140.jpg,30 33 503 638 kangaroo 
00054.jpg,145 22 640 449 kangaroo 
00122.jpg,73 54 311 227 kangaroo 182 89 445 202 kangaroo 
00021.jpg,300 194 640 371 kangaroo 184 263 506 399 kangaroo 
00118.jpg,138 63 360 324 kangaroo 11 45 189 326 kangaroo 
00078.jpg,143 123 959 456 kangaroo 
00149.jpg,338 103 596 387 kangaroo 385 273 441 343 kangaroo 
00130.jpg,52 84 175 195 kangaroo 
00096.jpg,407 147 783 476 kangaroo 
00064.jpg,75 156 457 443 kangaroo 
00081.jpg,353 95 515 337 kangaroo 
00022.jpg,22 205 341 399 kangaroo 509 131 559 207 kangaroo 31 138 136 211 kangaroo 295 174 429 221 kangaroo 178 141 285 202 kangaroo 
00085.jpg,524 175 756 572 kangaroo 179 8 518 504 kangaroo 18 138 719 583 kangaroo 
00047.jpg,171 210 339 281 kangaroo 
00056.jpg,222 3 345 256 kangaroo 1 118 259 250 kangaroo 
00028.jpg,140 95 673 467 kangaroo 55 69 286 352 kangaroo 
00072.jpg,130 61 229 397 kangaroo 
00030.jpg,32 21 236 434 kangaroo 
00087.jpg,110 51 402 349 kangaroo 
00167.jpg,260 327 465 481 kangaroo 591 170 717 423 kangaroo 1 182 59 255 kangaroo 
00018.jpg,221 1 478 281 kangaroo 
00089.jpg,46 72 531 277 kangaroo 
00102.jpg,311 84 634 406 kangaroo 
00153.jpg,1 442 527 789 kangaroo 
00137.jpg,236 297 580 533 kangaroo 624 444 966 651 kangaroo 1 346 146 503 kangaroo 
00094.jpg,163 19 381 378 kangaroo 
00066.jpg,366 235 698 451 kangaroo 
00090.jpg,152 163 584 370 kangaroo 291 39 590 219 kangaroo 48 81 268 289 kangaroo 
00002.jpg,156 114 240 309 kangaroo 222 117 415 306 kangaroo 
00039.jpg,179 27 345 272 kangaroo 290 52 453 281 kangaroo 
00154.jpg,290 199 463 317 kangaroo 
00151.jpg,179 83 391 372 kangaroo 
00105.jpg,95 48 464 541 kangaroo 
00020.jpg,98 28 592 472 kangaroo 508 302 561 373 kangaroo 
